+-------+------------------+--------------------+----------------+----------+---------+-----------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss | Accuracy |   FPR   | Precision |  Recall |    F1   | Median Wasserstein | Mean Wasserstein |
|  145  |  Discriminator   |      0.50971       |    0.58785     | 0.81800  | 0.14800 |  0.84120  | 0.78400 | 0.81110 |      0.48505       |     0.50549      |
|  146  |    Generator     |      0.50971       |    0.94888     | 0.77800  | 0.22000 |  0.77912  | 0.77600 | 0.77706 |      0.48359       |     0.50066      |
|  147  |    Generator     |      0.50971       |    0.82998     | 0.67800  | 0.40000 |  0.65398  | 0.75600 | 0.70080 |      0.49202       |     0.50808      |
|  148  |    Generator     |      0.50971       |    0.69756     | 0.53400  | 0.66800 |  0.52422  | 0.73600 | 0.61183 |      0.49153       |     0.50340      |
|  149  |    Generator     |      0.50971       |    0.61684     | 0.48200  | 0.80400 |  0.48855  | 0.76800 | 0.59673 |      0.49317       |     0.50567      |
|  150  |  Discriminator   |      0.66661       |    0.61684     | 0.52400  | 0.64800 |  0.51786  | 0.69600 | 0.59337 |      0.49560       |     0.50699      |
|  151  |  Discriminator   |      0.62450       |    0.61684     | 0.62800  | 0.44400 |  0.61189  | 0.70000 | 0.65249 |      0.50583       |     0.51021      |
|  152  |  Discriminator   |      0.59060       |    0.61684     | 0.72600  | 0.19600 |  0.76777  | 0.64800 | 0.70232 |      0.49664       |     0.50739      |
|  153  |  Discriminator   |      0.53069       |    0.61684     | 0.79000  | 0.06400 |  0.90960  | 0.64400 | 0.75361 |      0.49801       |     0.50867      |
|  154  |  Discriminator   |      0.47356       |    0.61684     | 0.83800  | 0.02800 |  0.96175  | 0.70400 | 0.81245 |      0.50439       |     0.50915      |
|  155  |  Discriminator   |      0.44764       |    0.61684     | 0.84200  | 0.02800 |  0.96216  | 0.71200 | 0.81790 |      0.50274       |     0.51049      |
|  156  |  Discriminator   |      0.41089       |    0.61684     | 0.89400  | 0.00400 |  0.99497  | 0.79200 | 0.88147 |      0.49983       |     0.51069      |
|  157  |    Generator     |      0.41089       |    1.35482     | 0.86400  | 0.04800 |  0.94175  | 0.77600 | 0.85038 |      0.51239       |     0.51332      |
|  158  |    Generator     |      0.41089       |    1.13746     | 0.81800  | 0.07200 |  0.90769  | 0.70800 | 0.79501 |      0.49123       |     0.49924      |
|  159  |    Generator     |      0.41089       |    0.93451     | 0.74000  | 0.26800 |  0.73622  | 0.74800 | 0.74156 |      0.48511       |     0.49472      |
|  160  |    Generator     |      0.41089       |    0.75775     | 0.65200  | 0.50000 |  0.61656  | 0.80400 | 0.69743 |      0.47035       |     0.49587      |
|  161  |    Generator     |      0.41089       |    0.66509     | 0.52200  | 0.69200 |  0.51541  | 0.73600 | 0.60578 |      0.46480       |     0.49959      |
|  162  |    Generator     |      0.41089       |    0.60427     | 0.49200  | 0.78400 |  0.49485  | 0.76800 | 0.60140 |      0.46354       |     0.50668      |
|  163  |  Discriminator   |      0.68446       |    0.60427     | 0.50600  | 0.74400 |  0.50400  | 0.75600 | 0.60432 |      0.45589       |     0.50940      |
|  164  |  Discriminator   |      0.63144       |    0.60427     | 0.59200  | 0.60000 |  0.56647  | 0.78400 | 0.65723 |      0.45265       |     0.50856      |
|  165  |  Discriminator   |      0.60476       |    0.60427     | 0.70200  | 0.35600 |  0.68100  | 0.76000 | 0.71784 |      0.44604       |     0.50995      |
|  166  |  Discriminator   |      0.54691       |    0.60427     | 0.83600  | 0.12800 |  0.86207  | 0.80000 | 0.82938 |      0.46219       |     0.50816      |
|  167  |    Generator     |      0.54691       |    0.90295     | 0.77800  | 0.23600 |  0.77043  | 0.79200 | 0.78057 |      0.44669       |     0.51263      |
|  168  |    Generator     |      0.54691       |    0.83723     | 0.67200  | 0.39600 |  0.65141  | 0.74000 | 0.69239 |      0.47570       |     0.52515      |
|  169  |    Generator     |      0.54691       |    0.76283     | 0.61200  | 0.50000 |  0.59150  | 0.72400 | 0.65058 |      0.47385       |     0.52763      |
|  170  |    Generator     |      0.54691       |    0.69026     | 0.56800  | 0.61200 |  0.55000  | 0.74800 | 0.63341 |      0.50566       |     0.53759      |
|  171  |    Generator     |      0.54691       |    0.61499     | 0.54800  | 0.67600 |  0.53315  | 0.77200 | 0.63024 |      0.51504       |     0.54576      |
|  172  |    Generator     |      0.54691       |    0.59364     | 0.48000  | 0.80400 |  0.48724  | 0.76400 | 0.59454 |      0.52103       |     0.55557      |
|  173  |  Discriminator   |      0.69276       |    0.59364     | 0.56000  | 0.64800 |  0.54237  | 0.76800 | 0.63528 |      0.52021       |     0.55805      |
|  174  |  Discriminator   |      0.62160       |    0.59364     | 0.67000  | 0.38400 |  0.65343  | 0.72400 | 0.68641 |      0.50780       |     0.55653      |
|  175  |  Discriminator   |      0.57987       |    0.59364     | 0.78600  | 0.14400 |  0.83256  | 0.71600 | 0.76940 |      0.50791       |     0.55332      |
|  176  |  Discriminator   |      0.48986       |    0.59364     | 0.82200  | 0.06000 |  0.92147  | 0.70400 | 0.79770 |      0.50991       |     0.55812      |
|  177  |  Discriminator   |      0.47650       |    0.59364     | 0.86400  | 0.03600 |  0.95500  | 0.76400 | 0.84840 |      0.51896       |     0.55691      |
|  178  |    Generator     |      0.47650       |    1.21951     | 0.85400  | 0.03600 |  0.95385  | 0.74400 | 0.83546 |      0.51064       |     0.55769      |
|  179  |    Generator     |      0.47650       |    1.14741     | 0.79000  | 0.12000 |  0.85366  | 0.70000 | 0.76874 |      0.52151       |     0.56010      |
|  180  |    Generator     |      0.47650       |    1.01989     | 0.73400  | 0.22800 |  0.75325  | 0.69600 | 0.72299 |      0.51268       |     0.55920      |
|  181  |    Generator     |      0.47650       |    0.89530     | 0.63800  | 0.42400 |  0.62278  | 0.70000 | 0.65864 |      0.51320       |     0.56002      |
|  182  |    Generator     |      0.47650       |    0.82454     | 0.57400  | 0.51200 |  0.56314  | 0.66000 | 0.60724 |      0.49972       |     0.55626      |
|  183  |    Generator     |      0.47650       |    0.74849     | 0.57400  | 0.57200 |  0.55728  | 0.72000 | 0.62778 |      0.50546       |     0.55554      |
|  184  |    Generator     |      0.47650       |    0.69915     | 0.52800  | 0.66000 |  0.52035  | 0.71600 | 0.60221 |      0.53717       |     0.57044      |
|  185  |    Generator     |      0.47650       |    0.62439     | 0.53200  | 0.69600 |  0.52198  | 0.76000 | 0.61841 |      0.53635       |     0.56890      |
|  186  |    Generator     |      0.47650       |    0.57508     | 0.48400  | 0.75200 |  0.48913  | 0.72000 | 0.58204 |      0.54070       |     0.56741      |
|  187  |  Discriminator   |      0.76116       |    0.57508     | 0.53000  | 0.66800 |  0.52149  | 0.72800 | 0.60719 |      0.55226       |     0.57584      |
|  188  |  Discriminator   |      0.72305       |    0.57508     | 0.53200  | 0.64800 |  0.52353  | 0.71200 | 0.60290 |      0.54507       |     0.56994      |
|  189  |  Discriminator   |      0.63342       |    0.57508     | 0.63200  | 0.48800 |  0.60645  | 0.75200 | 0.67093 |      0.54294       |     0.57910      |
|  190  |  Discriminator   |      0.59127       |    0.57508     | 0.65400  | 0.36000 |  0.64981  | 0.66800 | 0.65828 |      0.53839       |     0.57168      |
|  191  |  Discriminator   |      0.53472       |    0.57508     | 0.75000  | 0.19600 |  0.78027  | 0.69600 | 0.73523 |      0.55005       |     0.57933      |
|  192  |  Discriminator   |      0.50154       |    0.57508     | 0.78200  | 0.14400 |  0.83099  | 0.70800 | 0.76408 |      0.55435       |     0.57596      |
|  193  |  Discriminator   |      0.45941       |    0.57508     | 0.83600  | 0.07200 |  0.91176  | 0.74400 | 0.81889 |      0.54825       |     0.57405      |
|  194  |  Discriminator   |      0.44864       |    0.57508     | 0.84600  | 0.05200 |  0.93467  | 0.74400 | 0.82801 |      0.54433       |     0.57360      |
|  195  |  Discriminator   |      0.40561       |    0.57508     | 0.87200  | 0.04800 |  0.94286  | 0.79200 | 0.86037 |      0.54086       |     0.57189      |
|  196  |    Generator     |      0.40561       |    1.48846     | 0.83400  | 0.08000 |  0.90338  | 0.74800 | 0.81789 |      0.55049       |     0.57499      |
|  197  |    Generator     |      0.40561       |    1.33325     | 0.82600  | 0.10800 |  0.87558  | 0.76000 | 0.81321 |      0.54262       |     0.55912      |
|  198  |    Generator     |      0.40561       |    1.12647     | 0.77600  | 0.17200 |  0.80804  | 0.72400 | 0.76321 |      0.54969       |     0.54775      |
|  199  |    Generator     |      0.40561       |    0.98250     | 0.73200  | 0.28400 |  0.72481  | 0.74800 | 0.73572 |      0.54093       |     0.53376      |
|  200  |    Generator     |      0.40561       |    0.82966     | 0.62600  | 0.53600 |  0.59517  | 0.78800 | 0.67765 |      0.50061       |     0.53165      |
|  201  |    Generator     |      0.40561       |    0.72599     | 0.53400  | 0.68000 |  0.52381  | 0.74800 | 0.61566 |      0.47643       |     0.52042      |
|  202  |    Generator     |      0.40561       |    0.62030     | 0.51200  | 0.80400 |  0.50735  | 0.82800 | 0.62871 |      0.48255       |     0.51609      |
|  203  |  Discriminator   |      0.71681       |    0.62030     | 0.53800  | 0.71600 |  0.52520  | 0.79200 | 0.63110 |      0.47931       |     0.52642      |
|  204  |  Discriminator   |      0.66452       |    0.62030     | 0.61800  | 0.56000 |  0.58702  | 0.79600 | 0.67523 |      0.48448       |     0.52336      |
|  205  |  Discriminator   |      0.59901       |    0.62030     | 0.71400  | 0.35600 |  0.68772  | 0.78400 | 0.73221 |      0.48392       |     0.51923      |
|  206  |  Discriminator   |      0.53838       |    0.62030     | 0.76000  | 0.22400 |  0.76860  | 0.74400 | 0.75560 |      0.48272       |     0.52133      |
|  207  |  Discriminator   |      0.48817       |    0.62030     | 0.79800  | 0.14800 |  0.83408  | 0.74400 | 0.78597 |      0.48279       |     0.52335      |
|  208  |  Discriminator   |      0.44834       |    0.62030     | 0.84600  | 0.07600 |  0.90995  | 0.76800 | 0.83248 |      0.48053       |     0.52128      |
|  209  |    Generator     |      0.44834       |    1.46201     | 0.78800  | 0.14400 |  0.83333  | 0.72000 | 0.77204 |      0.48376       |     0.51931      |
|  210  |    Generator     |      0.44834       |    1.23812     | 0.76400  | 0.20400 |  0.78205  | 0.73200 | 0.75570 |      0.49781       |     0.51407      |
|  211  |    Generator     |      0.44834       |    1.01807     | 0.70800  | 0.31200 |  0.70000  | 0.72800 | 0.71323 |      0.48770       |     0.49974      |
|  212  |    Generator     |      0.44834       |    0.79981     | 0.61800  | 0.47600 |  0.59933  | 0.71200 | 0.65033 |      0.45541       |     0.48301      |
|  213  |    Generator     |      0.44834       |    0.63853     | 0.52600  | 0.66400 |  0.51884  | 0.71600 | 0.60119 |      0.44278       |     0.47603      |
|  214  |    Generator     |      0.44834       |    0.57111     | 0.46000  | 0.77600 |  0.47283  | 0.69600 | 0.56263 |      0.41930       |     0.46830      |
|  215  |  Discriminator   |      0.78510       |    0.57111     | 0.51400  | 0.68000 |  0.51009  | 0.70800 | 0.59248 |      0.41289       |     0.46713      |
|  216  |  Discriminator   |      0.69620       |    0.57111     | 0.58600  | 0.53200 |  0.56958  | 0.70400 | 0.62920 |      0.42618       |     0.47043      |
|  217  |  Discriminator   |      0.61367       |    0.57111     | 0.65000  | 0.35200 |  0.64940  | 0.65200 | 0.65020 |      0.42920       |     0.47209      |
|  218  |  Discriminator   |      0.57006       |    0.57111     | 0.76800  | 0.15600 |  0.81604  | 0.69200 | 0.74842 |      0.42579       |     0.46888      |
|  219  |  Discriminator   |      0.49242       |    0.57111     | 0.79200  | 0.08800 |  0.88421  | 0.67200 | 0.76315 |      0.41877       |     0.46938      |
|  220  |  Discriminator   |      0.45666       |    0.57111     | 0.85200  | 0.00800 |  0.98889  | 0.71200 | 0.82742 |      0.41980       |     0.46875      |
|  221  |  Discriminator   |      0.42241       |    0.57111     | 0.85800  | 0.03600 |  0.95431  | 0.75200 | 0.84067 |      0.41553       |     0.46624      |
|  222  |    Generator     |      0.42241       |    1.72266     | 0.84600  | 0.04000 |  0.94819  | 0.73200 | 0.82569 |      0.41441       |     0.46079      |
|  223  |    Generator     |      0.42241       |    1.17608     | 0.69600  | 0.29600 |  0.69919  | 0.68800 | 0.69305 |      0.40915       |     0.43589      |
|  224  |    Generator     |      0.42241       |    0.72348     | 0.54800  | 0.64400 |  0.53468  | 0.74000 | 0.62032 |      0.38566       |     0.41560      |
|  225  |    Generator     |      0.42241       |    0.53021     | 0.45200  | 0.84400 |  0.46985  | 0.74800 | 0.57669 |      0.38495       |     0.40975      |
|  226  |  Discriminator   |      0.84027       |    0.53021     | 0.42600  | 0.85600 |  0.45269  | 0.70800 | 0.55179 |      0.38242       |     0.41295      |
|  227  |  Discriminator   |      0.78197       |    0.53021     | 0.49800  | 0.75200 |  0.49867  | 0.74800 | 0.59792 |      0.39411       |     0.41822      |
|  228  |  Discriminator   |      0.74117       |    0.53021     | 0.53200  | 0.70400 |  0.52174  | 0.76800 | 0.62088 |      0.39294       |     0.41775      |
|  229  |  Discriminator   |      0.71069       |    0.53021     | 0.51200  | 0.67200 |  0.50877  | 0.69600 | 0.58735 |      0.39217       |     0.41269      |
|  230  |  Discriminator   |      0.64095       |    0.53021     | 0.65800  | 0.42800 |  0.63481  | 0.74400 | 0.68459 |      0.38469       |     0.41534      |
|  231  |  Discriminator   |      0.60445       |    0.53021     | 0.67600  | 0.31200 |  0.68033  | 0.66400 | 0.67157 |      0.39153       |     0.41380      |
|  232  |  Discriminator   |      0.56928       |    0.53021     | 0.74400  | 0.18000 |  0.78774  | 0.66800 | 0.72245 |      0.39110       |     0.41629      |
|  233  |  Discriminator   |      0.54618       |    0.53021     | 0.78600  | 0.08800 |  0.88235  | 0.66000 | 0.75466 |      0.39252       |     0.41415      |
|  234  |  Discriminator   |      0.54062       |    0.53021     | 0.77200  | 0.10400 |  0.86170  | 0.64800 | 0.73924 |      0.39338       |     0.41959      |
|  235  |  Discriminator   |      0.54061       |    0.53021     | 0.79800  | 0.08800 |  0.88601  | 0.68400 | 0.77152 |      0.38896       |     0.41331      |
|  236  |  Discriminator   |      0.47909       |    0.53021     | 0.81200  | 0.07600 |  0.90206  | 0.70000 | 0.78780 |      0.39286       |     0.41654      |
|  237  |  Discriminator   |      0.44878       |    0.53021     | 0.83400  | 0.11200 |  0.87444  | 0.78000 | 0.82403 |      0.39693       |     0.41537      |
|  238  |    Generator     |      0.44878       |    1.36841     | 0.82000  | 0.15600 |  0.83613  | 0.79600 | 0.81507 |      0.38828       |     0.41277      |
|  239  |    Generator     |      0.44878       |    0.97133     | 0.67200  | 0.39200 |  0.65248  | 0.73600 | 0.69123 |      0.38357       |     0.40734      |
|  240  |    Generator     |      0.44878       |    0.66669     | 0.53800  | 0.67200 |  0.52676  | 0.74800 | 0.61770 |      0.38271       |     0.40447      |
|  241  |    Generator     |      0.44878       |    0.53786     | 0.45400  | 0.86000 |  0.47174  | 0.76800 | 0.58400 |      0.38781       |     0.39800      |
|  242  |  Discriminator   |      0.75814       |    0.53786     | 0.45800  | 0.86400 |  0.47445  | 0.78000 | 0.58955 |      0.39129       |     0.39981      |
|  243  |  Discriminator   |      0.74489       |    0.53786     | 0.50800  | 0.77200 |  0.50513  | 0.78800 | 0.61515 |      0.39968       |     0.40642      |
|  244  |  Discriminator   |      0.75080       |    0.53786     | 0.58000  | 0.64400 |  0.55525  | 0.80400 | 0.65638 |      0.39071       |     0.39718      |
|  245  |  Discriminator   |      0.67102       |    0.53786     | 0.62000  | 0.51600 |  0.59434  | 0.75600 | 0.66500 |      0.39355       |     0.40185      |
|  246  |  Discriminator   |      0.61851       |    0.53786     | 0.69600  | 0.30000 |  0.69758  | 0.69200 | 0.69428 |      0.38924       |     0.39619      |
|  247  |  Discriminator   |      0.56458       |    0.53786     | 0.74200  | 0.17200 |  0.79227  | 0.65600 | 0.71723 |      0.39728       |     0.40471      |
|  248  |  Discriminator   |      0.52911       |    0.53786     | 0.77400  | 0.09600 |  0.87027  | 0.64400 | 0.73974 |      0.38161       |     0.39410      |
|  249  |  Discriminator   |      0.50724       |    0.53786     | 0.75200  | 0.11200 |  0.84615  | 0.61600 | 0.71248 |      0.38522       |     0.39653      |
|  250  |  Discriminator   |      0.49084       |    0.53786     | 0.82200  | 0.07200 |  0.90863  | 0.71600 | 0.80040 |      0.38879       |     0.40068      |
|  251  |  Discriminator   |      0.48535       |    0.53786     | 0.81400  | 0.05600 |  0.92432  | 0.68400 | 0.78572 |      0.38614       |     0.39989      |
|  252  |  Discriminator   |      0.46114       |    0.53786     | 0.84400  | 0.04800 |  0.93878  | 0.73600 | 0.82462 |      0.39487       |     0.40497      |
|  253  |  Discriminator   |      0.43720       |    0.53786     | 0.87400  | 0.03600 |  0.95610  | 0.78400 | 0.86104 |      0.38578       |     0.39416      |
|  254  |    Generator     |      0.43720       |    1.43340     | 0.82600  | 0.10800 |  0.87558  | 0.76000 | 0.81321 |      0.38760       |     0.39563      |
|  255  |    Generator     |      0.43720       |    1.04933     | 0.72200  | 0.29600 |  0.71429  | 0.74000 | 0.72642 |      0.37646       |     0.37868      |
|  256  |    Generator     |      0.43720       |    0.76404     | 0.61600  | 0.52400 |  0.59062  | 0.75600 | 0.66267 |      0.35520       |     0.36516      |
|  257  |    Generator     |      0.43720       |    0.63507     | 0.51000  | 0.75600 |  0.50653  | 0.77600 | 0.61248 |      0.32807       |     0.35097      |
|  258  |  Discriminator   |      0.69283       |    0.63507     | 0.51400  | 0.78000 |  0.50882  | 0.80800 | 0.62395 |      0.32116       |     0.35320      |
|  259  |  Discriminator   |      0.65388       |    0.63507     | 0.59800  | 0.58000 |  0.57227  | 0.77600 | 0.65826 |      0.32046       |     0.35238      |
|  260  |  Discriminator   |      0.63909       |    0.63507     | 0.65600  | 0.44800 |  0.62914  | 0.76000 | 0.68791 |      0.31946       |     0.35487      |
|  261  |  Discriminator   |      0.58609       |    0.63507     | 0.77000  | 0.19600 |  0.78970  | 0.73600 | 0.76141 |      0.32668       |     0.35708      |
|  262  |  Discriminator   |      0.55100       |    0.63507     | 0.68800  | 0.20400 |  0.73980  | 0.58000 | 0.64973 |      0.32416       |     0.35529      |
|  263  |  Discriminator   |      0.52520       |    0.63507     | 0.73400  | 0.11200 |  0.83815  | 0.58000 | 0.68510 |      0.32569       |     0.35637      |
|  264  |  Discriminator   |      0.52762       |    0.63507     | 0.75200  | 0.08800 |  0.87059  | 0.59200 | 0.70428 |      0.34057       |     0.35670      |
|  265  |  Discriminator   |      0.49473       |    0.63507     | 0.76800  | 0.08800 |  0.87640  | 0.62400 | 0.72849 |      0.33147       |     0.35634      |
|  266  |  Discriminator   |      0.48661       |    0.63507     | 0.75600  | 0.10000 |  0.85955  | 0.61200 | 0.71447 |      0.31827       |     0.35149      |
|  267  |  Discriminator   |      0.44812       |    0.63507     | 0.82200  | 0.11600 |  0.86758  | 0.76000 | 0.80974 |      0.32363       |     0.35810      |
|  268  |    Generator     |      0.44812       |    1.19319     | 0.77800  | 0.21600 |  0.78138  | 0.77200 | 0.77616 |      0.33862       |     0.36003      |
|  269  |    Generator     |      0.44812       |    0.87200     | 0.59400  | 0.56800 |  0.57100  | 0.75600 | 0.65011 |      0.36159       |     0.36688      |
|  270  |    Generator     |      0.44812       |    0.64626     | 0.49400  | 0.74800 |  0.49596  | 0.73600 | 0.59211 |      0.36662       |     0.37228      |
|  271  |  Discriminator   |      0.70578       |    0.64626     | 0.55400  | 0.63200 |  0.53936  | 0.74000 | 0.62346 |      0.36443       |     0.38484      |
|  272  |  Discriminator   |      0.68438       |    0.64626     | 0.57000  | 0.64400 |  0.54902  | 0.78400 | 0.64531 |      0.35894       |     0.38143      |
|  273  |  Discriminator   |      0.68809       |    0.64626     | 0.54800  | 0.60800 |  0.53659  | 0.70400 | 0.60851 |      0.36269       |     0.38661      |
|  274  |  Discriminator   |      0.64083       |    0.64626     | 0.59600  | 0.49200 |  0.58163  | 0.68400 | 0.62818 |      0.35789       |     0.38154      |
|  275  |  Discriminator   |      0.63519       |    0.64626     | 0.61800  | 0.44400 |  0.60498  | 0.68000 | 0.63980 |      0.36858       |     0.38366      |
|  276  |  Discriminator   |      0.61157       |    0.64626     | 0.65000  | 0.34400 |  0.65182  | 0.64400 | 0.64739 |      0.36306       |     0.38044      |
|  277  |  Discriminator   |      0.59114       |    0.64626     | 0.67600  | 0.25200 |  0.70561  | 0.60400 | 0.65037 |      0.36376       |     0.38456      |
|  278  |  Discriminator   |      0.55983       |    0.64626     | 0.70000  | 0.19200 |  0.75510  | 0.59200 | 0.66318 |      0.36958       |     0.38653      |
|  279  |  Discriminator   |      0.56495       |    0.64626     | 0.71800  | 0.14800 |  0.79781  | 0.58400 | 0.67388 |      0.36706       |     0.38082      |
|  280  |  Discriminator   |      0.52452       |    0.64626     | 0.69000  | 0.18400 |  0.75401  | 0.56400 | 0.64482 |      0.36697       |     0.37578      |
|  281  |  Discriminator   |      0.52112       |    0.64626     | 0.76000  | 0.11200 |  0.84946  | 0.63200 | 0.72428 |      0.36334       |     0.37751      |
|  282  |  Discriminator   |      0.50255       |    0.64626     | 0.76800  | 0.12800 |  0.83838  | 0.66400 | 0.74058 |      0.35594       |     0.38296      |
|  283  |  Discriminator   |      0.50262       |    0.64626     | 0.77800  | 0.12000 |  0.84925  | 0.67600 | 0.75229 |      0.37185       |     0.38456      |
|  284  |  Discriminator   |      0.47682       |    0.64626     | 0.80600  | 0.12000 |  0.85915  | 0.73200 | 0.79000 |      0.36001       |     0.38010      |
|  285  |  Discriminator   |      0.48025       |    0.64626     | 0.81000  | 0.08800 |  0.88945  | 0.70800 | 0.78793 |      0.35962       |     0.37613      |
|  286  |  Discriminator   |      0.45247       |    0.64626     | 0.83400  | 0.09600 |  0.88837  | 0.76400 | 0.82101 |      0.37028       |     0.38269      |
|  287  |    Generator     |      0.45247       |    1.15788     | 0.75600  | 0.24000 |  0.75806  | 0.75200 | 0.75452 |      0.35870       |     0.37930      |
|  288  |    Generator     |      0.45247       |    0.79929     | 0.57200  | 0.56800 |  0.55625  | 0.71200 | 0.62407 |      0.33688       |     0.38040      |
|  289  |    Generator     |      0.45247       |    0.60108     | 0.46200  | 0.80800 |  0.47532  | 0.73200 | 0.57590 |      0.34711       |     0.38781      |
|  290  |  Discriminator   |      0.73657       |    0.60108     | 0.47200  | 0.80000 |  0.48187  | 0.74400 | 0.58443 |      0.35137       |     0.38468      |
|  291  |  Discriminator   |      0.72888       |    0.60108     | 0.49800  | 0.74800 |  0.49866  | 0.74400 | 0.59663 |      0.35327       |     0.38611      |
|  292  |  Discriminator   |      0.69328       |    0.60108     | 0.52400  | 0.70400 |  0.51648  | 0.75200 | 0.61190 |      0.35070       |     0.38575      |
|  293  |  Discriminator   |      0.69034       |    0.60108     | 0.53400  | 0.66800 |  0.52422  | 0.73600 | 0.61183 |      0.35495       |     0.38713      |
|  294  |  Discriminator   |      0.64041       |    0.60108     | 0.58800  | 0.55200 |  0.56875  | 0.72800 | 0.63810 |      0.35577       |     0.38974      |
|  295  |  Discriminator   |      0.65184       |    0.60108     | 0.61400  | 0.49200 |  0.59406  | 0.72000 | 0.65050 |      0.35544       |     0.38796      |
|  296  |  Discriminator   |      0.59214       |    0.60108     | 0.65600  | 0.35600 |  0.65234  | 0.66800 | 0.65958 |      0.36042       |     0.39513      |
|  297  |  Discriminator   |      0.56251       |    0.60108     | 0.69600  | 0.24800 |  0.72072  | 0.64000 | 0.67747 |      0.35451       |     0.38594      |
|  298  |  Discriminator   |      0.51908       |    0.60108     | 0.73800  | 0.10000 |  0.85207  | 0.57600 | 0.68687 |      0.35754       |     0.39200      |
|  299  |  Discriminator   |      0.50927       |    0.60108     | 0.73000  | 0.08400 |  0.86624  | 0.54400 | 0.66783 |      0.35643       |     0.39227      |
|  300  |  Discriminator   |      0.46185       |    0.60108     | 0.78600  | 0.07600 |  0.89503  | 0.64800 | 0.75125 |      0.35873       |     0.38599      |
|  301  |  Discriminator   |      0.47236       |    0.60108     | 0.76000  | 0.08400 |  0.87791  | 0.60400 | 0.71516 |      0.35449       |     0.38754      |
|  302  |  Discriminator   |      0.43324       |    0.60108     | 0.83400  | 0.06800 |  0.91542  | 0.73600 | 0.81547 |      0.36697       |     0.39144      |
|  303  |  Discriminator   |      0.42002       |    0.60108     | 0.82800  | 0.08000 |  0.90196  | 0.73600 | 0.81008 |      0.35738       |     0.38858      |
|  304  |  Discriminator   |      0.40641       |    0.60108     | 0.86200  | 0.04800 |  0.94146  | 0.77200 | 0.84786 |      0.35986       |     0.38985      |
|  305  |    Generator     |      0.40641       |    1.36126     | 0.84000  | 0.12800 |  0.86325  | 0.80800 | 0.83421 |      0.37321       |     0.39026      |
|  306  |    Generator     |      0.40641       |    0.89234     | 0.67000  | 0.44800 |  0.63754  | 0.78800 | 0.70434 |      0.38388       |     0.39760      |
|  307  |    Generator     |      0.40641       |    0.66711     | 0.51400  | 0.75200 |  0.50914  | 0.78000 | 0.61564 |      0.37880       |     0.39713      |
|  308  |  Discriminator   |      0.66478       |    0.66711     | 0.54000  | 0.68800 |  0.52747  | 0.76800 | 0.62492 |      0.41780       |     0.41810      |
|  309  |  Discriminator   |      0.63155       |    0.66711     | 0.64000  | 0.52000 |  0.60606  | 0.80000 | 0.68917 |      0.39970       |     0.40781      |
|  310  |  Discriminator   |      0.54787       |    0.66711     | 0.73800  | 0.29200 |  0.72453  | 0.76800 | 0.74513 |      0.40488       |     0.40789      |
|  311  |    Generator     |      0.54787       |    0.79507     | 0.64800  | 0.51600 |  0.61145  | 0.81200 | 0.69710 |      0.41189       |     0.41376      |
|  312  |    Generator     |      0.54787       |    0.64033     | 0.54600  | 0.68800 |  0.53134  | 0.78000 | 0.63161 |      0.40590       |     0.41063      |
|  313  |    Generator     |      0.54787       |    0.54740     | 0.47800  | 0.84400 |  0.48662  | 0.80000 | 0.60467 |      0.41861       |     0.41688      |
|  314  |  Discriminator   |      0.72602       |    0.54740     | 0.52000  | 0.67600 |  0.51437  | 0.71600 | 0.59818 |      0.41284       |     0.41351      |
|  315  |  Discriminator   |      0.61667       |    0.54740     | 0.65400  | 0.35600 |  0.65098  | 0.66400 | 0.65693 |      0.41208       |     0.41243      |
|  316  |  Discriminator   |      0.59734       |    0.54740     | 0.73600  | 0.21600 |  0.76106  | 0.68800 | 0.72219 |      0.41064       |     0.41197      |
|  317  |  Discriminator   |      0.53496       |    0.54740     | 0.74600  | 0.17200 |  0.79426  | 0.66400 | 0.72282 |      0.41392       |     0.42222      |
|  318  |  Discriminator   |      0.52275       |    0.54740     | 0.74000  | 0.15200 |  0.80612  | 0.63200 | 0.70803 |      0.41740       |     0.41509      |
|  319  |  Discriminator   |      0.47844       |    0.54740     | 0.77600  | 0.12800 |  0.84158  | 0.68000 | 0.75172 |      0.41198       |     0.41637      |
|  320  |  Discriminator   |      0.44283       |    0.54740     | 0.83400  | 0.11200 |  0.87444  | 0.78000 | 0.82403 |      0.41078       |     0.41807      |
|  321  |    Generator     |      0.44283       |    1.42018     | 0.82200  | 0.15600 |  0.83682  | 0.80000 | 0.81750 |      0.40947       |     0.41555      |
|  322  |    Generator     |      0.44283       |    1.11162     | 0.73000  | 0.26000 |  0.73469  | 0.72000 | 0.72677 |      0.40622       |     0.40975      |
|  323  |    Generator     |      0.44283       |    0.79560     | 0.63200  | 0.51600 |  0.60185  | 0.78000 | 0.67895 |      0.37959       |     0.39406      |
|  324  |    Generator     |      0.44283       |    0.58053     | 0.51200  | 0.76400 |  0.50773  | 0.78800 | 0.61708 |      0.37577       |     0.39170      |
|  325  |  Discriminator   |      0.71440       |    0.58053     | 0.54000  | 0.76400 |  0.52488  | 0.84400 | 0.64677 |      0.37239       |     0.39570      |
|  326  |  Discriminator   |      0.67687       |    0.58053     | 0.59400  | 0.62800 |  0.56510  | 0.81600 | 0.66727 |      0.37263       |     0.39417      |
